prov_code,year,centre_spaces_0_to_5
10,2019,6382
10,2021,5941
10,2023,6288
11,2019,3645
11,2021,3591
11,2023,3830
12,2019,12951
12,2021,12597
12,2023,13037
13,2019,14024
13,2021,13698
13,2023,14026
24,2019,213119
24,2021,206991
24,2023,211192
35,2019,172951
35,2021,170545
35,2023,176814
46,2019,22495
46,2021,21931
46,2023,22736
47,2019,12970
47,2021,12562
47,2023,13015
48,2019,67610
48,2021,66494
48,2023,68224
59,2019,67780
59,2021,66260
59,2023,68198
61,2019,935
61,2021,922
61,2023,945
62,2019,779
62,2021,764
62,2023,779
63,2019,971
63,2021,956
63,2023,971